Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|04/01/2016|Vente|212000,00|13||ALL|0081|BILLIE HOLIDAY|35770|VERN-SUR-SEICHE|35|352||AL|322||||||||||||0|1|Maison||88|4|S||411
|||||||1|07/01/2016|Vente|350000,00|20||RUE|0192|ANITA CONTI|35760|MONTGERMONT|35|189||AE|334||||||||||||0|1|Maison||146|5|S||484
|||||||1|11/01/2016|Vente|111000,00|76||RUE|0310|ALPHONSE GUERIN|35000|RENNES|35|238||BO|476||194|68,02|||||||||1|3|Dépendance||0|0|||
|||||||1|11/01/2016|Vente|111000,00|76|A|RUE|0310|ALPHONSE GUERIN|35000|RENNES|35|238||BO|476||7||87||||||||2|2|Appartement||69|4|||
|||||||1|11/01/2016|Vente|128000,00|65||RUE|2420|DE DINAN|35000|RENNES|35|238||AB|857||3||||||||||1|2|Appartement||52|2|||
|||||||1|08/01/2016|Vente|140000,00|9021||RUE|0264|D'IRLANDE|35510|CESSON-SEVIGNE|35|51||AZ|862||1076||||||||||1|3|Dépendance||0|0|||
|||||||1|08/01/2016|Vente|140000,00|6||RUE|0264|D'IRLANDE|35510|CESSON-SEVIGNE|35|51||AZ|862||4033||||||||||1|2|Appartement||46|2|||
|||||||1|05/01/2016|Vente|107470,00|11||RUE|0046|DE LA FAUVETTE|35230|BOURGBARRE|35|32||ZI|682||20|66,86|||||||||1|2|Appartement||67|3|||
|||||||1|05/01/2016|Vente|107470,00|11||RUE|0046|DE LA FAUVETTE|35230|BOURGBARRE|35|32||ZI|682||42||||||||||1|3|Dépendance||0|0|||
|||||||1|08/01/2016|Vente|43000,00|9017|||B265|KER LANN|35170|BRUZ|35|47||BM|95||385||||||||||1|3|Dépendance||0|0|||
