Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|07/01/2015|Vente|220000,00|5806|||C417|LA RABELIERE|35740|PACE|35|210||E|156||||||||||||0|1|Maison||105|5|J|POTAG|1465
|||||||1|07/01/2015|Vente|220000,00|5806|||C417|LA RABELIERE|35740|PACE|35|210||E|156||||||||||||0|1|Maison||105|5|S||320
|||||||1|05/01/2015|Vente|3500,00||||B317|L HERMITIERE|35230|ORGERES|35|208||ZA|221||||||||||||0||||||T||1615
|||||||1|05/01/2015|Vente|3500,00||||B317|L HERMITIERE|35230|ORGERES|35|208||ZA|222||||||||||||0||||||T||876
|||||||1|08/01/2015|Vente|85000,00|5||CRS|0935|DE BILBAO|35200|RENNES|35|238||LV|66||145|70,66|146||||||||2|2|Appartement||70|3|||
|||||||1|09/01/2015|Vente|270300,00|14||AV|0203|DU GENERAL DE GAULLE|35170|BRUZ|35|47||BC|128||||||||||||0|1|Maison||210|9|S||774
|||||||1|09/01/2015|Vente|270300,00|||AV|0203|DU GENERAL DE GAULLE|35170|BRUZ|35|47||BC|405||||||||||||0||||||S||6
|||||||1|09/01/2015|Vente|249000,00|16||AV|0203|DU GENERAL DE GAULLE|35170|BRUZ|35|47||BC|129||||||||||||0|1|Maison||105|5|S||488
|||||||1|09/01/2015|Vente|249000,00|||AV|0203|DU GENERAL DE GAULLE|35170|BRUZ|35|47||BC|406||||||||||||0||||||S||7
|||||||1|09/01/2015|Vente|88000,00|8||RUE|5120|JULES GUESDE|35000|RENNES|35|238||AB|924||156||||||||||1|3|Dépendance||0|0|||
|||||||1|09/01/2015|Vente|88000,00|8||RUE|5120|JULES GUESDE|35000|RENNES|35|238||AB|924||158||||||||||1|3|Dépendance||0|0|||
|||||||1|09/01/2015|Vente|88000,00|8||RUE|5120|JULES GUESDE|35000|RENNES|35|238||AB|924||102|34,00|||||||||1|2|Appartement||34|1|||
|||||||1|09/01/2015|Vente|88000,00|8||RUE|5120|JULES GUESDE|35000|RENNES|35|238||AB|924||157||||||||||1|3|Dépendance||0|0|||
|||||||1|12/01/2015|Vente|245000,00|5||ALL|0629|SILLON TOUCHES DE L'OREE|35520|LA CHAPELLE DES FOUGERETZ|35|59||AD|295||||||||||||0|1|Maison||113|6|S||279
|||||||1|07/01/2015|Vente|399100,00|83||RUE|0930|BIGOT DE PREAMENEU|35000|RENNES|35|238||CD|339||||||||||||0|1|Maison||125|8|S||181
|||||||1|07/01/2015|Vente|245500,00|1||ALL|0094|JEAN MOULIN|35760|MONTGERMONT|35|189||AH|60||||||||||||0|1|Maison||103|4|S||409
|||||||1|16/01/2015|Vente|157005,00|25|A|RUE|1800|DE CHATEAUGIRON|35000|RENNES|35|238||CH|434||140||47||||||||2|2|Appartement||77|4|||
|||||||1|16/01/2015|Vente|157005,00|9001||AV|6655|MGR MOUEZY|35000|RENNES|35|238||CH|434||238||||||||||1|3|Dépendance||0|0|||
|||||||1|07/01/2015|Vente|85000,00|8||RUE|1800|DE CHATEAUGIRON|35000|RENNES|35|238||CE|556||10|30,81|||||||||1|2|Appartement||30|1|||
|||||||1|07/01/2015|Vente|85000,00|8||RUE|1800|DE CHATEAUGIRON|35000|RENNES|35|238||CE|556||29||||||||||1|3|Dépendance||0|0|||
|||||||1|05/01/2015|Vente|141000,00|39||RUE|4836|JEAN MONNET|35200|RENNES|35|238||KV|629||1||||||||||1|3|Dépendance||0|0|||
|||||||1|05/01/2015|Vente|141000,00|37||RUE|4836|JEAN MONNET|35200|RENNES|35|238||KV|629||21|54,94|||||||||1|2|Appartement||55|1|||
|||||||1|07/01/2015|Vente|226180,00|58||RUE|0510|DES PETITS CHAMPS|35510|CESSON-SEVIGNE|35|51||AD|61||||||||||||0|1|Maison||98|5|S||215
|||||||1|07/01/2015|Vente|125000,00|9010||RUE|0208|DU GRAND CHAMP|35510|CESSON-SEVIGNE|35|51||AN|296||||||||||||0|3|Dépendance||0|0|S||17
|||||||1|07/01/2015|Vente|125000,00|13||RUE|0208|DU GRAND CHAMP|35510|CESSON-SEVIGNE|35|51||AN|365||||||||||||0|1|Maison||127|5|S||182
|||||||1|14/01/2015|Vente|188000,00|8||RUE|1790|DE CHATEAUDUN|35000|RENNES|35|238||BN|426||12||20|67,35|||||||2|2|Appartement||67|3|||
|||||||1|14/01/2015|Vente|188000,00|8||RUE|1790|DE CHATEAUDUN|35000|RENNES|35|238||BN|426||2||||||||||1|3|Dépendance||0|0|||
|||||||1|07/01/2015|Vente|80000,00|6||SQ|2772|EDOUARD HERRIOT|35200|RENNES|35|238||CT|239||210||230||||||||2|2|Appartement||69|4|||
|||||||1|06/01/2015|Vente|110000,00|15||SQ|1023|DU BOIS PERRIN|35700|RENNES|35|238||BL|289||326||371||||||||2|2|Appartement||57|3|||
|||||||1|06/01/2015|Vente|110000,00|15||SQ|1023|DU BOIS PERRIN|35700|RENNES|35|238||BL|289||665||||||||||1|3|Dépendance||0|0|||
|||||||1|06/01/2015|Vente|60000,00|16||QUAI|2651|DUGUAY TROUIN|35000|RENNES|35|238||AC|548||51||||||||||1|2|Appartement||20|1|||
|||||||1|06/01/2015|Vente|60000,00|16||QUAI|2651|DUGUAY TROUIN|35000|RENNES|35|238||AC|548||51||||||||||1|2|Appartement||18|1|||
|||||||1|06/01/2015|Vente|60000,00|16||QUAI|2651|DUGUAY TROUIN|35000|RENNES|35|238||AC|548||51||||||||||1|2|Appartement||171|6|||
|||||||1|19/01/2015|Vente|214599,00|12||RUE|7860|DE LA POTERIE|35200|RENNES|35|238||CR|1132||28|79,70|||||||||1|2|Appartement||80|3|||
|||||||1|19/01/2015|Vente|214599,00|10||RUE|7860|DE LA POTERIE|35200|RENNES|35|238||CR|1132||44||||||||||1|3|Dépendance||0|0|||
|||||||1|19/01/2015|Vente|214599,00|10||RUE|7860|DE LA POTERIE|35200|RENNES|35|238||CR|1132||45||||||||||1|3|Dépendance||0|0|||
|||||||1|09/01/2015|Vente|134000,00|24||AV|5810|LOUIS BARTHOU|35000|RENNES|35|238||BR|235||9|42,55|||||||||1|2|Appartement||45|2|||
|||||||1|09/01/2015|Vente|134000,00|24||AV|5810|LOUIS BARTHOU|35000|RENNES|35|238||BR|235||10||||||||||1|3|Dépendance||0|0|||
|||||||1|05/01/2015|Vente|135500,00|28||SQ|4181|DU HAUT BLOSNE|35200|RENNES|35|238||DR|234||34|72,15|42||||||||2|2|Appartement||72|4|||
