Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|02/01/2017|Vente|10000,00||||B648|VEZIN|35230|ORGERES|35|208||ZE|132||||||||||||0||||||T||7982
|||||||1|05/01/2017|Vente|145000,00|5967||AV|0162|FRANCOIS MITTERRAND|35135|CHANTEPIE|35|55||AN|296||123||||||||||1|3|Dépendance||0|0|||
|||||||1|05/01/2017|Vente|145000,00|11||AV|0162|FRANCOIS MITTERRAND|35135|CHANTEPIE|35|55||AN|296||98|66,77|||||||||1|2|Appartement||66|3|||
|||||||1|02/01/2017|Vente|261950,00|9002||RUE|4612|JACQUES GABRIEL|35000|RENNES|35|238||DK|73||430||||||||||1|3|Dépendance||0|0|||
|||||||1|02/01/2017|Vente|261950,00|4||RUE|4612|JACQUES GABRIEL|35000|RENNES|35|238||DK|73||133||||||||||1|2|Appartement||70|3|||
|||||||1|09/01/2017|Vente|150000,00|2||MAIL|6090|FRANCOIS MITTERRAND|35000|RENNES|35|238||AE|166||21||23||24||25||26||20|4|Local industriel. commercial ou assimilé||75|0|||
|||||||1|05/01/2017|Vente|75000,00|14||RUE|2700|DUPONT DES LOGES|35000|RENNES|35|238||BR|659||122|24,14|||||||||1|2|Appartement||23|1|||
|||||||1|02/01/2017|Vente|550000,00|8||RUE|1930|CLAUDE BERNARD|35000|RENNES|35|238||DL|245||||||||||||0|1|Maison||77|3|S||431
|||||||1|10/01/2017|Vente|190000,00|44||SQ|8145|DE LA RANCE|35000|RENNES|35|238||AB|526||405||||||||||1|3|Dépendance||0|0|||
|||||||1|10/01/2017|Vente|190000,00|28||SQ|8145|DE LA RANCE|35000|RENNES|35|238||AB|526||127||||||||||1|2|Appartement||66|3|||
|||||||1|10/01/2017|Vente|10000,00|44||SQ|8145|DE LA RANCE|35000|RENNES|35|238||AB|526||267||||||||||1|3|Dépendance||0|0|||
|||||||1|03/01/2017|Vente|75000,00|20||RUE|6390|MARTEVILLE|35000|RENNES|35|238||AO|631||5||||||||||1|2|Appartement||25|1|||
|||||||1|04/01/2017|Vente|85185,00|18||BD|0270|P DUMAINE DE LA JOSSERIE|35740|PACE|35|210||BI|177||93|43,48|||||||||1|2|Appartement||43|2|||
|||||||1|04/01/2017|Vente|85185,00|18||BD|0270|P DUMAINE DE LA JOSSERIE|35740|PACE|35|210||BI|177||11||||||||||1|3|Dépendance||0|0|||
|||||||1|04/01/2017|Vente|143580,00|2||RUE|2829|EMILE BERNARD|35700|RENNES|35|238||HY|174||39||||||||||1|3|Dépendance||0|0|||
|||||||1|04/01/2017|Vente|143580,00|2||RUE|2829|EMILE BERNARD|35700|RENNES|35|238||HY|174||2|71,49|||||||||1|2|Appartement||71|3|||
|||||||1|06/01/2017|Vente|147550,00|2||RUE|0060|DES LONGRAIS|35520|LA CHAPELLE DES FOUGERETZ|35|59||AE|483||21||||||||||1|3|Dépendance||0|0|||
|||||||1|06/01/2017|Vente|147550,00|1||RUE|0065|DE LA MAIRIE|35520|LA CHAPELLE DES FOUGERETZ|35|59||AE|486||154||||||||||1|3|Dépendance||0|0|||
|||||||1|06/01/2017|Vente|147550,00|1||RUE|0065|DE LA MAIRIE|35520|LA CHAPELLE DES FOUGERETZ|35|59||AE|486||116|63,15|||||||||1|2|Appartement||63|3|||
|||||||1|03/01/2017|Vente|102000,00|66||BD|9610|VILLEBOIS MAREUIL|35000|RENNES|35|238||CH|104||4||||||||||1|2|Appartement||61|3|||
|||||||1|03/01/2017|Vente|242500,00|78||RUE|3160|DE FOUGERES|35700|RENNES|35|238||BI|575||15||23||6|121,48|||||3|2|Appartement||125|4|||
|||||||1|03/01/2017|Vente|242500,00|78||RUE|3160|DE FOUGERES|35700|RENNES|35|238||BI|575||31||||||||||1|3|Dépendance||0|0|||
|||||||1|03/01/2017|Vente|122000,00|18||SQ|5569|LEON BOURGEOIS|35000|RENNES|35|238||CE|425||368||||||||||1|3|Dépendance||0|0|||
|||||||1|03/01/2017|Vente|122000,00|18||SQ|5569|LEON BOURGEOIS|35000|RENNES|35|238||CE|425||258||309|70,45|||||||2|2|Appartement||73|4|||
|||||||1|05/01/2017|Vente|129000,00|12||RUE|6915|DE NORVEGE|35200|RENNES|35|238||LX|44||13||27||||||||2|2|Appartement||81|5|||
|||||||1|05/01/2017|Vente|129000,00|2||RUE|6915|DE NORVEGE|35200|RENNES|35|238||LX|56||14||||||||||1|3|Dépendance||0|0|||
|||||||1|06/01/2017|Vente en l'état futur d'achèvement|250500,00|87||RUE|0310|ALPHONSE GUERIN|35000|RENNES|35|238||BO|96||8||||||||||1|2|Appartement||66|3|||
|||||||1|06/01/2017|Vente en l'état futur d'achèvement|250500,00|87||RUE|0310|ALPHONSE GUERIN|35000|RENNES|35|238||BO|96||68||||||||||1|3|Dépendance||0|0|||
|||||||1|06/01/2017|Vente|80000,00|2||VLA|1126|DU BOURG L EVESQUE|35000|RENNES|35|238||AD|230||1121||||||||||1|3|Dépendance||0|0|||
|||||||1|06/01/2017|Vente|80000,00|2||VLA|1126|DU BOURG L EVESQUE|35000|RENNES|35|238||AD|230||179||180||||||||2|2|Appartement||41|2|||
|||||||1|05/01/2017|Vente|3800000,00|9000||MAIL|6090|FRANCOIS MITTERRAND|35000|RENNES|35|238||AE|169||37||||||||||1|3|Dépendance||0|0|||
|||||||1|05/01/2017|Vente|3800000,00|9000||MAIL|6090|FRANCOIS MITTERRAND|35000|RENNES|35|238||AE|169||11||||||||||1|3|Dépendance||0|0|||
