Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|30/08/2018|Vente|220500,00|16||RUE|3240|FRANCOIS DUINE|35700|RENNES|35|238||AV|331||||||||||||0|1|Maison||76|3|S||167
|||||||1|21/08/2018|Vente|144000,00|9001||CTRE|X037|COMMERCIAL MORBIHAN|35000|RENNES|35|238||HY|220||11||||||||||1|4|Local industriel. commercial ou assimilé||70|0|||
|||||||1|03/08/2018|Vente|411000,00||||B010|LE BAS CHENEZE|35830|BETTON|35|24||A|19||||||||||||0||||||S||1240
|||||||1|03/08/2018|Vente|411000,00||||B010|LE BAS CHENEZE|35830|BETTON|35|24||A|19||||||||||||0||||||P||2345
|||||||1|03/08/2018|Vente|411000,00||||B010|LE BAS CHENEZE|35830|BETTON|35|24||A|20||||||||||||0||||||J|POTAG|465
|||||||1|03/08/2018|Vente|411000,00||||B010|LE BAS CHENEZE|35830|BETTON|35|24||A|21||||||||||||0||||||P||1155
|||||||1|03/08/2018|Vente|411000,00|9001|||B010|LE BAS CHENEZE|35830|BETTON|35|24||A|22||||||||||||0|1|Maison||171|6|S||2020
|||||||1|03/08/2018|Vente|411000,00||||B468|LE CLOS PRIVOTS|35830|BETTON|35|24||A|691||||||||||||0||||||P||1483
|||||||1|20/08/2018|Vente|165000,00|16||RUE|7350|DU PERE MAUNOIR|35000|RENNES|35|238||BZ|666||211||212||||||||2|2|Appartement||66|4|||
|||||||1|09/08/2018|Vente|338000,00|9||RUE|5540|DE LEON|35000|RENNES|35|238||BP|286||18|97,90|||||||||1|2|Appartement||100|4|||
|||||||1|09/08/2018|Vente|338000,00|21||RUE|2670|JEAN MARIE DUHAMEL|35000|RENNES|35|238||BR|431||307||||||||||1|3|Dépendance||0|0|||
|||||||1|24/08/2018|Vente en l'état futur d'achèvement|12000,00|25||RUE|3088|FERDINAND|35000|RENNES|35|238||DE|627||64||||||||||1||||||||
|||||||1|06/08/2018|Vente|280000,00|27||RUE|0457|VICTOR HUGO|35135|CHANTEPIE|35|55||AI|166||||||||||||0|1|Maison||90|5|S||481
|||||||1|08/08/2018|Vente|330000,00|31||RUE|0810|DE BEL AIR|35200|RENNES|35|238||CP|284||||||||||||0|1|Maison||100|5|S||417
|||||||1|31/08/2018|Vente en l'état futur d'achèvement|183438,00|||AV|0096|ANDRE BONNIN|35135|CHANTEPIE|35|55||AE|180||63||||||||||1||||||||
|||||||1|31/08/2018|Vente en l'état futur d'achèvement|183438,00|||AV|0096|ANDRE BONNIN|35135|CHANTEPIE|35|55||AE|180||147||||||||||1||||||||
|||||||1|28/08/2018|Vente|138807,31|10||RUE|5805|DE LORRAINE|35000|RENNES|35|238||EW|48||329||343|69,78|||||||2|2|Appartement||69|3|||
|||||||1|28/08/2018|Vente|138807,31|9||RUE|3195|DE FRANCHE COMTE|35000|RENNES|35|238||EW|48||521||||||||||1|3|Dépendance||0|0|||
|||||||1|30/08/2018|Vente|150000,00|23||RUE|3275|FRANCOIS TANGUY PRIGENT|35000|RENNES|35|238||MO|49||68||||||||||1|3|Dépendance||0|0|||
|||||||1|30/08/2018|Vente|150000,00|18||AV|2331|DE CUCILLE|35000|RENNES|35|238||MO|49||14|62,69|||||||||1|2|Appartement||61|3|||
|||||||1|20/08/2018|Vente|105000,00|1||RUE|0396|HYPPOLYTE BOUSQUET|35170|BRUZ|35|47||CE|121||83||||||||||1|3|Dépendance||0|0|||
|||||||1|20/08/2018|Vente|105000,00|1||RUE|0396|HYPPOLYTE BOUSQUET|35170|BRUZ|35|47||CE|121||22|44,58|||||||||1|2|Appartement||44|2|||
|||||||1|30/08/2018|Vente|144000,00|1|||0039|LE CLOS DE L ERABLE|35230|BOURGBARRE|35|32||ZC|324||60||||||||||1|3|Dépendance||0|0|||
|||||||1|30/08/2018|Vente|144000,00|1|||0039|LE CLOS DE L ERABLE|35230|BOURGBARRE|35|32||ZC|324||2|66,04|52||||||||2|2|Appartement||65|3|||
|||||||1|21/08/2018|Vente|46816,00||||B650|LA PIECE DU BOUILLON|35230|SAINT-ERBLON|35|266||ZD|632||||||||||||0||||||AB||1130
|||||||1|21/08/2018|Vente|46816,00||||B650|LA PIECE DU BOUILLON|35230|SAINT-ERBLON|35|266||ZD|664||||||||||||0||||||AB||200
|||||||1|27/08/2018|Vente|277000,00|5||RUE|0048|DU BOTREL|35690|ACIGNE|35|1||AI|74||||||||||||0|1|Maison||104|5|S||283
|||||||1|20/08/2018|Vente|106500,00|18||RUE|5935|LOUIS PETRI|35000|RENNES|35|238||KT|247||35||||||||||1|3|Dépendance||0|0|||
|||||||1|20/08/2018|Vente|106500,00|20||RUE|5935|LOUIS PETRI|35000|RENNES|35|238||KT|247||102|32,17|||||||||1|2|Appartement||32|2|||
|||||||1|23/08/2018|Vente|382000,00|17|||B728|TERRON|35230|NOYAL-CHATILLON-SUR-SEICHE|35|206||AB|574||||||||||||0|1|Maison||106|4|S||876
|||||||1|23/08/2018|Vente|382000,00|17|||B728|TERRON|35230|NOYAL-CHATILLON-SUR-SEICHE|35|206||AB|574||||||||||||0|1|Maison||106|4|AG||1483
|||||||1|10/08/2018|Vente|124100,00|1||ALL|0964|BARBARA|35136|ST JACQUES DE LA LANDE|35|281||AV|831||8||||||||||1|2|Appartement||66|3|||
|||||||1|10/08/2018|Vente|124100,00|1||ALL|0964|BARBARA|35136|ST JACQUES DE LA LANDE|35|281||AV|831||8||||||||||1|2|Appartement||66|3|||
|||||||1|30/08/2018|Vente|114000,00|10||RUE|5805|DE LORRAINE|35000|RENNES|35|238||EW|48||314||333|79,93|||||||2|4|Local industriel. commercial ou assimilé||76|0|||
|||||||1|22/08/2018|Vente|410000,00|43||AV|0110|DE CARADEUC|35510|CESSON-SEVIGNE|35|51||AC|11||||||||||||0|1|Maison||106|5|S||639
|||||||1|03/09/2018|Vente|139500,00|40||RUE|6190|MARC SANGNIER|35200|RENNES|35|238||CS|340||147||||||||||1|3|Dépendance||0|0|||
|||||||1|03/09/2018|Vente|139500,00|40||RUE|6190|MARC SANGNIER|35200|RENNES|35|238||CS|340||128||136||144||||||3|2|Appartement||77|4|||
|||||||1|03/09/2018|Vente|139500,00|6||BD|5585|LEON GRIMAULT|35200|RENNES|35|238||LP|39||97||||||||||1|3|Dépendance||0|0|||
|||||||1|27/08/2018|Vente|170000,00|1||RUE|0058|DES CHARPENTIERS|35690|ACIGNE|35|1||AB|1150||50||||||||||1|3|Dépendance||0|0|||
|||||||1|27/08/2018|Vente|170000,00|1||RUE|0058|DES CHARPENTIERS|35690|ACIGNE|35|1||AB|1150||19||||||||||1|2|Appartement||85|4|||
|||||||1|14/08/2018|Vente|118000,00|36||RUE|8770|SAINT MELAINE|35000|RENNES|35|238||BE|320||15||9|26,62|||||||2|2|Appartement||30|1|||
|||||||1|31/08/2018|Vente|480000,00|39||RUE|0180|DE LA CROIX CONNUE|35510|CESSON-SEVIGNE|35|51||AP|55||||||||||||0|1|Maison||130|6|S||743
|||||||1|24/08/2018|Vente|220000,00|245||RUE|1800|DE CHATEAUGIRON|35000|RENNES|35|238||KR|48||||||||||||0|1|Maison||65|4|S||395
|||||||1|29/08/2018|Vente|78000,00|11|B|RUE|1022|DU BOIS PERRIN|35700|RENNES|35|238||BL|125||579||||||||||1|3|Dépendance||0|0|||
|||||||1|29/08/2018|Vente|78000,00|11|B|RUE|1022|DU BOIS PERRIN|35700|RENNES|35|238||BL|125||138||198|23,62|||||||2|2|Appartement||23|1|||
|||||||1|27/08/2018|Vente|162215,00|5||RUE|0300|DE L ALMA|35000|RENNES|35|238||BS|116||6|57,74|||||||||1|2|Appartement||47|3|||
|||||||1|01/09/2018|Vente|260000,00|10||RUE|0027|DU CLOSEL|35850|PARTHENAY-DE-BRETAGNE|35|216||A|1702||||||||||||0|1|Maison||110|4|AB||425
|||||||1|01/09/2018|Vente|260000,00||||B279|LE PETIT COULOIR|35850|PARTHENAY-DE-BRETAGNE|35|216||A|1749||||||||||||0||||||P||28
|||||||1|28/08/2018|Vente en l'état futur d'achèvement|12000,00|53||AV|6655|MONSEIGNEUR MOUEZY|35000|RENNES|35|238||CH|337||157||||||||||1||||||||
|||||||1|20/08/2018|Vente|290000,00|60||MAIL|6090|FRANCOIS MITTERRAND|35000|RENNES|35|238||AE|488||8||||||||||1|3|Dépendance||0|0|||
|||||||1|20/08/2018|Vente|290000,00|60||MAIL|6090|FRANCOIS MITTERRAND|35000|RENNES|35|238||AE|488||39||||||||||1|2|Appartement||92|4|||
|||||||1|24/08/2018|Vente|400000,00|243||RUE|1800|DE CHATEAUGIRON|35000|RENNES|35|238||KR|49||||||||||||0|1|Maison||105|3|J|POTAG|760
|||||||1|24/08/2018|Vente|400000,00|243||RUE|1800|DE CHATEAUGIRON|35000|RENNES|35|238||KR|49||||||||||||0|1|Maison||105|3|S||787
|||||||1|23/08/2018|Vente|99770,03|1||ALL|0682|DES PINS|35136|ST JACQUES DE LA LANDE|35|281||AV|576||182||||||||||1|3|Dépendance||0|0|||
|||||||1|23/08/2018|Vente|99770,03|3||ALL|0682|DES PINS|35136|ST JACQUES DE LA LANDE|35|281||AV|576||298|52,51|||||||||1|2|Appartement||52|3|||
|||||||1|21/08/2018|Vente en l'état futur d'achèvement|197000,00|2||RUE|0088|DE CRAIOVA|35131|CHARTRES-DE-BRETAGNE|35|66||AM|780||3||||||||||1|2|Appartement||64|3|||
